日期,时间,玩家,触发,插件版本,包内文件(不含截图)
20260914,153424,玩家D,nolock,1.21.0,ad_20260914_153049.log
20260914,162254,玩家D,draft,1.21.0,ad_20260914_153928.log;trace_20260914081457.jsonl;trace_20260914073522.jsonl
20260914,164816,玩家D,nolock,1.21.0,ad_20260914_153928.log
20260914,170138,玩家D,draft,1.21.0,ad_20260914_153928.log;trace_20260914085343.jsonl
20260914,173719,玩家D,nolock,1.21.0,ad_20260914_153928.log
20260914,174519,玩家D,nolock,1.21.0,ad_20260914_153928.log
20260914,223957,玩家D,abnormal,1.22.0,ad_20260914_223628.log;trace_20260914143634.jsonl
20260914,225850,玩家D,nolock,1.22.0,ad_20260914_223628.log
20260914,231054,玩家D,nolock,1.22.0,ad_20260914_223628.log
20260914,232640,玩家D,draft,1.22.0,ad_20260914_231651.log;trace_20260914151857.jsonl
20260914,234147,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,000614,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,084946,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,090419,玩家D,draft,1.22.0,ad_20260914_231651.log;trace_20260915005622.jsonl
20260915,091146,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,092405,玩家D,draft,1.22.0,ad_20260914_231651.log;trace_20260915011628.jsonl
20260915,093115,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,093709,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,095631,玩家D,nolock,1.22.0,ad_20260914_231651.log
20260915,103748,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,105455,玩家D,draft,1.21.0,ad_20260915_102654.log;trace_20260915024642.jsonl
20260915,110856,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,112649,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,113715,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,122500,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,123421,玩家D,draft,1.21.0,ad_20260915_102654.log;trace_20260915042620.jsonl
20260915,124735,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,125855,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,130846,玩家D,nolock,1.21.0,ad_20260915_102654.log
20260915,132805,玩家D,draft,1.21.0,ad_20260915_102654.log;trace_20260915052004.jsonl
20260915,154642,玩家D,draft,1.26.0,ad_20260915_153511.log;trace_20260915073953.jsonl;trace_20260915073846.jsonl
20260915,170543,玩家D,draft,1.26.0,ad_20260915_153511.log;trace_20260915085742.jsonl;trace_20260915081347.jsonl
20260915,201940,玩家A,nolock,1.27.0,ad_20260915_195817.log
20260915,204822,玩家D,nolock,1.26.0,ad_20260915_153511.log
20260915,205025,玩家A,nolock,1.27.0,ad_20260915_195817.log
20260915,213432,玩家D,nolock,1.26.0,ad_20260915_213006.log
20260915,215015,玩家D,draft,1.26.0,ad_20260915_213006.log;trace_20260915134213.jsonl
20260915,223149,玩家D,draft,1.26.0,ad_20260915_213006.log;trace_20260915142351.jsonl
20260915,224604,玩家D,nolock,1.26.0,ad_20260915_213006.log
20260915,230520,玩家D,abnormal,1.26.0,ad_20260915_213006.log;trace_20260915145723.jsonl
20260915,230522,玩家A,draft,1.27.0,ad_20260915_195817.log;trace_20260915145721.jsonl;trace_20260915142355.jsonl;trace_20260915134212.jsonl
20260915,233155,玩家A,nolock,1.27.0,ad_20260915_195817.log
20260915,233941,玩家D,nolock,1.26.0,ad_20260915_213006.log
20260915,234624,玩家D,nolock,1.26.0,ad_20260915_213006.log
20260915,234642,玩家A,nolock,1.27.0,ad_20260915_195817.log
20260916,105350,玩家D,nolock,1.26.0,ad_20260916_104458.log
20260916,110334,玩家D,draft,1.26.0,ad_20260916_104458.log;trace_20260916025537.jsonl
20260916,110857,玩家D,nolock,1.26.0,ad_20260916_104458.log
20260916,111625,玩家D,nolock,1.26.0,ad_20260916_104458.log
20260916,113826,玩家D,nolock,1.26.0,ad_20260916_104458.log
20260916,115459,玩家D,abnormal,1.26.0,ad_20260916_104458.log;trace_20260916035039.jsonl
20260916,125520,玩家D,draft,1.26.0,ad_20260916_124700.log;trace_20260916044713.jsonl
20260916,130751,玩家D,nolock,1.26.0,ad_20260916_124700.log
20260916,132410,玩家D,draft,1.26.0,ad_20260916_124700.log;trace_20260916051613.jsonl
20260916,133715,玩家D,nolock,1.26.0,ad_20260916_124700.log
20260916,135942,玩家D,nolock,1.26.0,ad_20260916_124700.log
20260916,141711,玩家D,draft,1.26.0,ad_20260916_124700.log;trace_20260916060909.jsonl
20260916,150143,玩家D,abnormal,1.26.0,ad_20260916_124700.log;trace_20260916065346.jsonl
20260916,150720,玩家D,nolock,1.26.0,ad_20260916_124700.log
